Time, pitch,  roll,  yaw, X, Y, Z,Tof, Up,Back,Right,Front, Back,States
0.019360065460205,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
0.12911868095398,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
0.24005389213562,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
0.349781274795532,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
0.466341733932495,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
0.641307592391968,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
0.755232572555542,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
0.865147113800049,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
0.974044799804688,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
1.084552526474,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
1.20069050788879,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
1.31378245353699,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
1.86907982826233,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
1.97982048988342,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
2.08952474594116,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
2.20246529579163,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
2.30913233757019,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
2.41785311698914,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
2.52973675727844,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
2.63961243629456,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
2.7508327960968,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
2.86014795303345,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
2.97075891494751,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
3.07699275016785,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
3.18719100952148,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
3.30310964584351,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
3.40957760810852,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
3.52318072319031,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
3.63703751564026,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
3.74783897399902,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
3.85581135749817,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
3.96530795097351,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
4.0778534412384,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
4.18951725959778,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
4.29830503463745,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
4.41183948516846,0,0,0,0,0,0.950349867343903,0.029140714555979,-1,1.68364071846008,2.73489475250248,6.34653425216676,2.216037273407, State.takeoff
