Time ,pitch,roll,yaw,X, Y,Z,VX,VY,VZ,Range_Up ,Range_Front,Range_Back,Range_Right,Range_Left,State
10.1040086746216,0.36648742353695,0.029837416980436,3.45707919463242,0.476123660802841,0.063500829041004,1.94943904876891,0.313886791936669,0.035638195671914,-0.029131436720491,-1,5.90448522567749,2.13451433181763,2.68073987960825,2.27527356147766, State.safe
10.219340801239,0.140223768639928,0.026370588748143,3.63863792234413,0.511868834495544,0.069760978221893,1.95525944233008,0.318303936027535,0.035181576285764,-0.025361102074385,-1,5.84223937988281,2.19857335090637,2.67051649093629,2.28677487373352, State.safe
10.3295850753784,0.054566375570512,0.022222316813786,3.81534944367905,0.546970546245575,0.07593134790659,1.95769250392968,0.319846048821531,0.034656939917817,-0.021991029381752,-1,5.81078672409059,2.23124170303345,2.66532850265508,2.29265999794007, State.safe
10.4425361156464,0.021173583847739,-0.108428951992349,3.99201450607692,0.582165896892548,0.082123331725597,1.95981955528288,0.320333651791666,0.032950735455585,-0.018782781437039,-1,5.77929592132569,2.26402688026429,2.66013288497927,2.29859733581549, State.safe
10.5575065612793,0.007567848563244,-0.057556143969854,4.17822860339225,0.619295477867126,0.088461257517338,1.96165287494663,0.320398010371314,0.030054694823531,-0.015732288360596,-1,5.74781465530396,2.29686760902405,2.65508222579962,2.30442166328436, State.safe
10.6689918041229,0.002807207657668,-0.017486570194984,4.35490160923643,0.654516339302063,0.094337277114391,1.96322059631375,0.320292099497473,0.028401661500179,-0.013206266798079,-1,5.716365814209,2.32973742485047,2.65019083023072,2.31012535095216, State.safe
10.7814235687256,0.001038188742009,0.005139295107829,4.53634847236274,0.690666258335114,0.100327841937542,1.96455609798489,0.320127495406597,0.027286325776116,-0.011089655570686,-1,5.68496799468995,2.36262011528015,2.64537811279299,2.31579279899602, State.safe
10.8977749347687,0.000423471692497,0.017523718516106,4.71779171649451,0.726784408092499,0.106324568390846,1.9656937122346,0.319926699428583,0.026482522211595,-0.009255746379495,-1,5.65362644195557,2.39550924301148,2.64059662818911,2.32147026062013, State.safe
11.0129704475403,0.000218565999269,0.023767596075724,4.89923515450287,0.762867271900177,0.112355761229992,1.96666526794634,0.319719575294002,0.025905733709584,-0.007796793244779,-1,5.622344493866,2.42840266227723,2.63581800460817,2.32718539237977, State.safe
11.1255033016205,0.00015709431708,0.026423442145008,5.08067858275236,0.798912882804871,0.118435867130756,1.96749806404197,0.31951093497404,0.025386594381402,-0.006600340362638,-1,5.59112262725831,2.46129870414734,2.63102579116823,2.33295416831973, State.safe
11.2426760196686,0.00012294336035,0.026952671755624,5.26689730965354,0.835867464542389,0.124733172357082,1.96883261203821,0.319294741343089,0.024884312632656,-0.005592092871666,-1,5.52886295318604,2.5271008014679,2.62137126922609,2.34468317031862, State.safe
11.3639168739319,0.000122943307328,0.026221960736008,5.45788726950592,0.87372750043869,0.131253555417061,1.96936929225939,0.319073322406244,0.024339957525684,-0.004743232391775,-1,5.49782371520996,2.56000685691834,2.61650395393373,2.35064840316778, State.safe
11.4765472412109,3.41512564102586E-05,-0.096496569258018,5.63932874348756,0.909658193588257,0.137471660971642,1.96983742714012,0.318856539321589,0.022759386288901,-0.004098358098418,-1,5.46684312820436,2.59291768074036,2.61162066459657,2.3566718101502, State.safe
11.5925107002258,-0.000218566028788,-0.045867922175281,5.82554293694259,0.946516633033752,0.14368300139904,1.97024810314224,0.318624096609574,0.020117116141497,-0.003539566649124,-1,5.4359097480774,2.6258454322815,2.60685038566621,2.36262106895448, State.safe
11.7074508666992,-0.000177584895835,-0.006958007235188,6.00698528597726,0.982407569885254,0.149617627263069,1.97060811519649,0.318390005819168,0.018641757170795,-0.003052074927837,-1,5.40501880645754,2.65879225730897,2.60223102569581,2.36845588684082, State.safe
11.8184466362,-7.51320393863952E-05,0.013869025970507,6.1836527135889,1.01732409000397,0.155373200774193,1.97092449665123,0.318160413947399,0.017745426694099,-0.002651817863807,-1,5.3741774559021,2.69175386428834,2.59768128395081,2.37426471710205, State.safe
11.9342753887177,3.41509426456818E-05,0.025472052366727,6.36509426927964,1.05314838886261,0.161308735609055,1.97120261192346,0.317918504342858,0.01712059685921,-0.002298658713698,-1,5.34338855743409,2.72472667694092,2.59315156936647,2.38009524345398, State.safe
12.0494887828827,9.56225804058804E-05,0.031206608579689,6.55130863092258,1.08987498283386,0.167453721165657,1.9714473485956,0.317684488277588,0.016649275068582,-0.002009834162891,-1,5.31265544891357,2.75770807266236,2.58861207962037,2.38597583770759, State.safe
12.1634593009949,0.00012294344471,0.03319104083208,6.73274998697088,1.12561881542206,0.173506185412407,1.97185766696943,0.317447827308824,0.016301691689954,-0.001764088054188,-1,5.25135707855227,2.82369732856751,2.57944631576543,2.39794564247132, State.safe
12.2743463516235,3.415121740329E-05,-0.081634515967672,6.90941787667903,1.16038644313812,0.179435014724731,1.97203075885859,0.317217147329757,0.014918181788956,-0.001573103596456,-1,5.22079038619996,2.85670685768128,2.57482862472539,2.40403079986573, State.safe
12.3904120922089,-0.000170754681767,-0.033538811897238,7.0956336911382,1.19701647758484,0.185544371604919,1.97218549251593,0.316971275770939,0.012581273040708,-0.001399898086675,-1,5.19026136398316,2.88974189758302,2.57032418251044,2.41003680229192, State.safe
12.5064296722412,-0.000129773601113,0.003474798542652,7.27707300974326,1.2326842546463,0.191407293081284,1.97232437133826,0.316709846845755,0.011312853227771,-0.001225728425197,-1,5.15977096557618,2.92280244827272,2.56593418121343,2.41597127914429, State.safe
12.616758108139,-2.73207971308434E-05,0.022519270459998,7.45374211611111,1.26738142967224,0.197114557027817,1.97244858741776,0.316461842809663,0.0106016274594,-0.001082888804376,-1,5.12932586669922,2.95588207244874,2.56158256530766,2.42190957069403, State.safe
12.7274162769318,6.14715988808191E-05,0.032143310796242,7.6256339136201,1.30110573768616,0.202706411480904,1.97255969047702,0.316221962036894,0.010141367696311,-0.000963930564467,-1,5.09893083572389,2.98897671699524,2.55722713470478,2.42789268493657, State.safe
12.8485805988312,0.000122943303084,0.036768370652612,7.82140640074763,1.33946847915649,0.20914663374424,1.97265911102411,0.31594845591644,0.009794356708252,-0.00084809679538,-1,5.06858825683595,3.02208375930786,2.55284380912781,2.43394470214844, State.safe
12.9673929214478,0.000157094115771,0.037631955269032,8.01239635136078,1.3768470287323,0.215514630079269,1.97274839878099,0.315688709314806,0.009515620170977,-0.000752871332224,-1,5.03829765319826,3.05520486831665,2.54842019081134,2.44007849693299, State.safe
